reviewDescription,ratingScore
every thing good is nothing compared speed io disappointed charger even though indian judiciary told provide still made progress regarding charger spend k is brand acessories comfort size feature right point buying ithank foldedhands,2
look fabulous android user switched apple performance wise i better android due bionic chip feel pleasant using i hand like much smilingfacewithheart-eyes redheart,3
tried flip camera recording facility added pause first flip back front vice versa mean cannot continue awkward position i software upgraded make go essential content creator purchased gimbal dji om se could provided essential vlogger fed finding basic requirement built product,2
genuine,3
happy get i amazon offer,3
great product nothing say name apple identity product well recommendation grab product else missed something,3
good product grinningface hundredpoints,3
nice product,2
excellent product,3
honest review going broke buying depreciating objecti using android  since last year finally decided switch i used roast i price lack feature also thing like power adapter given box etc last android  iqoo legend lot software related issue battery issue updating android tired bug software glitch android finally decided buy i switch android io boy righti never even held i life price made great choice even spend saving iti smooth even iqoo legend hz feel slower even i hz cannot believe seeing gamesapps much smoother optimised androidi sceptical charging speed i iqoo w fast charger i buy w separate fast charger r charging speed disappointingdisplay quality truly flagship level quite fan small display believe able reach top display one hand helpful build quality greati would recommend waste extra k buying pro think extra camera telephoto lens worth spending kyou see rd image attached quality wide angle camera pic shot i wide angle camera struggle low light main camera really good capture true colour front camera really good truly flagshipspeakers greatbattery life better previous devicesios optimised term battery life easy hr sot normal usagenote playing bgmi loose around battery every minute hd extreme graphic also good pro max would far better term batteryfor software yes feel like downside even software smooth le bug two annoying thing game get paused open control centre check battery etc lock screen annoying also reach top left corner see notification also annoying clearing notification also annoyingbut perfect purchase disappointed paid i received truly happy bought ittruly worth,3
perfect i highly recommend seller great price sale  good,3
like  quite reasonable comparing is good nice use,3
bought product little expensive within month price dropped r,2
though talk lot high price is worth amount smooth touch perfect hold hand screen size look small overall could gone pro max l budget way much good battery backup low battery mode always hour talktime around hour twitter hour whatsapp usage hour song listening hour rummycandy crush game notification item battery come hour getting charged quickly within hour perfect camera love live photo option body design awesome held hand first time felt really happy design size i,3
work fine nothing special camera also good night expected charge  twice use lot also heat sometimes like sometimes feel smooth know value money,2
day delivery  delivered day purchase  thrice third attempt finally received  battery life better i xr  shown picture amazon refund policy good received refund within hour,3
device working switched offiam able download invoice warranty documenthow get itservice center asking document,1
nothing new feature model changed,2
seal teared stricker put know whether new refurbished working confusedface confusedface confusedface,1
 well balanced hd oled sdisplay colour accurate camera quality good even mp camera selfies portrait look good selfies indoor required little improvement done software battery back great faster transfer using airdrop getting half day battery backup normal usage overall perfect smart io experience,3
good like android,3
good charge,3
actually android user switched i user experience good camera quality meet expectation taken photo day time little low light get good quality photo night mode worst battery good moderate user  compact display quality really awesome conclusion looking privacy protect hacker definitely i safe moderate user buy model,2
good happy,3
apple product quality ensured proven,3
 bent reason kindly infirm check warrenty period get feedback,3
mainly bought content creation software optimization good also use macbook air data transfer i quicker android one basically le hasslelove photo video qualityits also mostly work personal use customization bit hard also use android primary  issue meoverall good purchase,3
bought i manufacturing defect  doesnthave personal hotspot airdrop blocked turning deception cannot afford foreign friend bought i position even return i,1
received i timelyproduct working greatit improved lifestyle wellcamera quality awesome battery performance pretty goodthanks amazon great service,3
facing heating issue battery performance good screen hr hanging expect apple look fantastic small compared xr,2
finally upgraded trusty i i let tell feel like timetraveled past future pink color absolutely gorgeousits perfect blend subtle stylish making  look sleek modern received many compliment alreadythe design everything would expect apple premium wellcrafted pleasure hold coming almost like using rotary  halfexpected siri say welcome st centurythe display bright vibrant camera huge leap forward overall performance incredibly smooth crazy much changedface id feel like magic battery life dream compared old needed charger practically glued itif thinking upgrading especially coming much older model like hesitate i pink stunner well worth leap,2
really wanted get i first i loved sound quality great charge fast  bit heavy look classy display also work well camera best whiteheart whiteheart,3
thing liked solid build quality polished software compared samsungs one ui camerarear rear camera pretty decent good color accuracy lighting condition video steady smooth mic speaker mic exceptionally well isolates background sound noisy situation speaker crisp good bass performance  shine throw app available app store run without breaking sweat face id work like charm best biometric  lock undoubtedlythings wish better battery life would better get hour sot mixed usage high brightness hour call hour social medium hour medium playbackmusic charge slow compared earlier samsung take almost hour front camera average fails get correct skin tone lighting keep default still produce saturated photo dialer  app suck someone make call day due nature scm work dialer samsung far better unknown call add note number samsung reflect person call without save unnecessary contact number pad detect contact unless complete number typed,3
every thinglove product,3
liked way fast,3
io current version updated thw worst thing io user fear update heared update get display issue battery drain issue god sake issue io update till care device great super handy little feeling weight display hz refresh rate felt badly form used kind device brightness range comfortable p hdr video youtube give blissful experiancebattery charging charging time took hour charge using apple w original adapter cable without interruptionno electricity break disconnection call etc battery backup mostly maintain battery way think may get one day backup average h screen timethe one day backup advertisemnt advertisement label usaully use actually day like eventspartyouting use camera editing app social medium app usual use day get satisfied backup little temperature warming charging heating issue battery health month battery cycle count monthperfomance good perfomance video editing photography social medium gamer camera even though felt lag stuck screen third party application cinematic mode mind blowing missed pro higher varients zooming mode actually really miss pro variant tele lens camera feature using cost wall photo nice feature like exposure adjust filter good quality photo x zoomed photo good meit reduced pixel quality video optical image stabilisation mind blowing mostly explore video soo good word thatand biggest fear io updatei turned auto update first place heared display issuesheating issue bug io update seriesso expencive established brand like apple fair say reminder also heared without io update display issue happened buy way hardware issue one display provider company batch may show issue customer cannot identify company provides hardawarei attach battery analytics data screnshot photo better understand battery good ordering experience greate indian sale worst planned buy oct greate indian sale offer got canceled bought disppointed whole recommend base model felt must buy pro variant person need io affordable price recommend better,2
using almost month issue facing camera quality great thumbsup best part display give premium experience go,3
picture quality fine hanging issue,2
writing review using  monthspros camera click amazing picture video recording best seen  far compared previous  stable video shaking battery life good last entire day medium use game  charging quick  use usb c display soo good bright built solid dropped  couple time cover without even scratch listening music watching video hot co good speaker r crystal clear right amount bass treblecons  tad heavy using hr stretch result pain wrist fingersgot  diwali sale discount bang buck ask,2
finally switched android hand feel super amazing still susceptible hacking among type security threat photo come ver good screen quality wow mean watching experience super satisfying,2
new  purchased developing overheating using charging may duplicate product supplied online request amazon change ,2
i without doubt gamechanger avid apple user recently upgraded incredible device exceeded already high expectation every way thoroughly impressed i performance bionic chip powerhouse make everything  feel lightningfast seamless whether gaming streaming multitasking i handle effortlesslydisplay super retina xdr display work art color vivid brightness exceptional contrast stunning whether watching movie browsing web scrolling social medium visual experience second nonecamera camera system i nothing short amazing capture photo video outstanding clarity detail night mode gamechanger lowlight photography cinematic mode video add whole new dimension creative endeavorsbattery life apple improved battery life i show go entire day heavy usage without needing reach charger battery management feature also impressive ensuring get every chargeios i run io user experience unmatched interface intuitive app store offer vast ecosystem apps enhance device capabilitiesdesign i boast sleek premium design durable feel great hand ceramic shield front cover offer extra protection welcome additiong capability i gready mean experience lightningfast data speed low latency making futureproof ready latest advancement mobile technologyprivacy security apple commitment user privacy security commendable feature like face id enhanced data protection feel confident personal information safe handsin summary i stunning upgrade delivering apple legacy innovation excellence offer exceptional performance breathtaking display camera system redefines mobile photography videography design exudes luxury device testament apple commitment pushing boundary smart looking best business i wholeheartedly recommend anyone seeking toptier mobile experience worth every penny,2
usb cable defective charging,2
dream  always working proper processor strong mainly camera always better  unhappy withh main heating issue please solve heating issue charging time  always produced heating,3
excellent feature,3
talking  apple always costly always everythingi using android year moved applethere lot application feature missing moved apple really impressed power processor capability android  come gb ram speed performance poor time gb ram i really powerful mindblowing android storage full  response slow apple still surprised performance video quality anroid  give mp delivered apple mp camera mesmerizing absolutely brilliant battery back okay could improved using gaming okay apple started production india price could reduced,3
good product delivered time,3
happy purchase product genuine third time exchang worked amazon mentioned value old  delivery guy time denied accepting exchange different  instance bad experience exchange trustworthy,3
value money,3
mobile ,3
although i handling quite different compare android  number comparatively easier others,3
good price good le source heating issue charging device know apple device heated charging hot device,2
received genuine product best deal happy thanks amazon,3
got i yesterday exchange price different received  also heating enragedface charging also,2
expected peak performance,3
bought great indian sale till battery health camera time better android devicedevice compact handyits premium feel never disappoints youin term providing update apple top listi personally recommend white colour,3
osm pic quality,3
,3
nice ,3
great  loved camera quality  smoothness amazing,3
i gb surpassed expectation every aspect setting new standard smart excellence sleek design powerful performance innovative feature device truly redefined mean premium smartdesign build qualitythe i design masterpiece craftsmanship featuring sleek aluminum frame stunning ceramic shield front cover device feel incredibly premium hand compact form factor exquisite attention detail ip water dust resistance provide added durability peace mind making perfect everyday usedisplaythe super retina xdr display i nothing short breathtaking inch oled screen delivers vibrant color deep black excellent brightness level ensuring immersive viewing experience everything streaming video browsing web true tone technology adapts display ambient lighting condition providing comfortable viewing experience timesperformancepowered bionic chip i delivers unparalleled performance responsiveness apps launch instantly animation buttery smooth multitasking breeze thanks efficient cpu gpu whether gaming productivity task content creation device handle everything ease making true powerhouse palm handcamerathe camera system i true gamechanger capturing stunning photo video remarkable clarity detail dualcamera setup includes mp wide ultrawide lens feature night mode deep fusion smart hdr elevating photography new height addition cinematic mode add cinematic touch video recording allowing user unleash creativity like never beforebattery lifebattery life i exceptional easily lasting full day heavy usage efficient power management chip coupled software optimization ensures longlasting performance without compromising productivity entertainment magsafe charging fast charging support staying powered go never easier convenientios experienceas expected i run latest version io providing seamless intuitive user experience io introduces host new feature improvement including focus mode live text enhanced privacy control enhancing overall user experience productivityconclusionin conclusion i gb true masterpiece innovation excellence delivering unparalleled experience sure delight even discerning smart user stunning design powerful performance innovative feature exceptional battery life smart lifestyle upgrade looking best best look i,3
month battery health nullify heating ordered cooler hit sink technology work like refrigerator otherwise  smooth storage fullstill consistently giving great camera performance,2
snagged i great indian festival unbeatable price let tell gamechanger every wayscreen display absolutely stunning crisp vibrant color pop like never watching video scrolling photo treat eye complaint herehanging zero issue hanging lagging  handle multitasking like champ switching apps smooth experienced frustrating delaysbattery battery life surprisingly impressive go full day normal usage still juice left tank anxiously searching charger midday definite wincomfort sleek design make pleasure hold  right weight feel premium comfortable hand making joy use extended periodsimage quality camera i true standout photo sharp night mode gamechanger capturing memory low light selfies never looked goodcolor went classic midnight color elegant timeless finish add touch sophistication attract fingerprint like  pastin summary getting i great indian festival absolute steal incredible screen reliable battery life stunning camera exceeded expectation fence take plunge disappointed,3
review i gb midnight colortitle sleek powerful devicerating im absolutely loving new i midnight color sleek design stunning display make headturner gb storage plenty space favorite apps photo musicthe camera incredible capturing crisp vibrant image even low light battery life impressive lasting full day heavy use bionic chip delivers lightningfast performance making everything gaming multitasking breezethe midnight color sleek sophisticated oled display simply gorgeous could happier purchasepros stunning display excellent camera performance fast performance long battery life sleek designcons noneoverall highly recommend i gb midnight color anyone looking topnotch smart,2
happy share personal review i smooth handle display good camera quality amazingworth thumbsup,3
superb deviceand helpful deal amazon,3
well,2
use week write review nice i fast battery charging good battery backup daysthanks amazon,3
like colour battery capacity,3
good kindly ignore,3
feel good hand,3
first i really good experiencecamera awesomebattery awesomeoverall awesome,3
awesome deal,3
good productcamera superbsmoothness next levelfeeling proud feel honor,3
amazing first time i user great user interfacesexy looking ,3
like product,3
definitely top notch doubt i first apple product really impressed,3
best budget compromise quality,3
good enough received genuine product amazon plus,3
adaptor supplied working taken authorized service center said adaptor fakedo bur adaptor,1
good offer,2
nice camera quality great importantly cinematic video,3
everything good,3
package  delivered good condition,3
great performance apple never disappoints still heavy wallet,3
decent  working like charm,3
got k amazon prime day lifelong android user switched io dividing pro negsproduct red gbpros received genuine product amazon quite sceptic though built quality excellent camera quality excellent true life color reproduction indoor condition amazing night photo good facial tone good day click amazing short amazing exp selfie cam also produce good quality image also shift dynamic range shifting bw wide ultra wide cam display really great display hz experience le hz coz apple great software optimization buttery smooth jitter screen feel like hz panel notch yes bothering little bit got function face unlock stuff work great environmental conditionsafter little get adjusted got magic function like  ring go close detects presence lower vol level performance powerful processor world battery light usage easily go day heavy day remember follow charging pattern give solid battery exp speaker loud small thumpcons keep photo stuff need buy storage gb default nothing download google photo alternate sol want buy storage file management system suck android much better dolby atmos need subscription apple music telephoto cam think must price point somehow getting g airtel know android  always used get usb c siri dumb af apple map good download google map google keypad much better apple notification panel small thing like typing notification panel thing android much much better apple haptic feedback typing maybe coming io note apple ecosystem still exploring part whenever click pic automatically get updated see macbook alsooverall would say planning buy  responsiveness everyday stuff without hanging problem stuff buy also planning keep long time think good investment future got great resale valuehope help making decision easierupdate week usageall point remains check ecosystem experience amazing receive make  call cellular call macbook call quality also goodso basically keep  section house working macbook somewhere else call come receive macbook p  macbook connected similar network ie wifi airplay lock screen play video also listen music  basically watch youtube amazon prime videosapp macbook present  stuff also listen music switch device also seamless someone house use macbook watch movie amazon primeplaying  browse linkedin fb i,2
used  smooth fast camera quality natural photo performance great play call duty nice slightlysmilingface thumbsup,2
affordable priced i great build quality fabulous user experience,3
using  since year good,3
word excellent  usual amazon,3
nice product,3
father gift,3
thing beastbattery drain hi nahi hoti nazar na lagey,3
product great,3
